"filename", "language", "TypeScript", "Vue", "comment", "blank", "total"
"c:\Users\11691\Desktop\x\roll_ui\src\components\SwitchDemo.vue", "Vue", 0, 53, 0, 5, 58
"c:\Users\11691\Desktop\x\roll_ui\src\router.ts", "TypeScript", -3, 0, 0, 1, -2
"Total", "-", -3, 53, 0, 6, 56
